epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,227.039,0.66492,0.48671,0.85944,0.94821,0.91337,0.96399,0.78457,0.68933,1.42923,0.87191,0.0700461,0.00332821,0.00332821
2,414.713,0.60923,0.38929,0.84817,0.97447,0.94575,0.98041,0.86288,0.50599,0.33207,0.82919,0.0393866,0.00600205,0.00600205
3,598.41,0.55942,0.35256,0.83698,0.97854,0.94704,0.9798,0.84615,0.55289,0.34032,0.83809,0.0080671,0.00801589,0.00801589
4,781.83,0.54206,0.33631,0.83381,0.979,0.95113,0.98248,0.87599,0.49148,0.30523,0.82498,0.00703,0.00703,0.00703
5,965.768,0.51288,0.31453,0.82775,0.97994,0.95303,0.98554,0.89417,0.46511,0.28554,0.8211,0.00604,0.00604,0.00604
6,1149.73,0.49286,0.29945,0.82317,0.97975,0.95342,0.98629,0.90388,0.43104,0.26913,0.81362,0.00505,0.00505,0.00505
7,1333.83,0.47591,0.28687,0.8194,0.98361,0.95376,0.98729,0.90677,0.42561,0.2572,0.81227,0.00406,0.00406,0.00406
8,1518.2,0.46125,0.27478,0.81616,0.98139,0.95619,0.98738,0.90847,0.42229,0.25284,0.81221,0.00307,0.00307,0.00307
9,1702.35,0.44841,0.26476,0.81334,0.98397,0.9557,0.98807,0.91768,0.40226,0.23927,0.80809,0.00208,0.00208,0.00208
10,1886.15,0.43109,0.25079,0.81041,0.98172,0.96004,0.9894,0.92087,0.38479,0.22521,0.80314,0.00109,0.00109,0.00109
