epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,226.034,0.70747,0.50888,0.87071,0.95601,0.90783,0.95558,0.75606,0.74829,0.51154,0.88829,0.0700461,0.00332821,0.00332821
2,415.155,0.62815,0.39521,0.85411,0.97291,0.94627,0.98053,0.8613,0.51653,0.33482,0.83389,0.0393866,0.00600205,0.00600205
3,599.358,0.58752,0.36236,0.84419,0.97645,0.94712,0.97871,0.85452,0.5317,0.32748,0.83386,0.0080671,0.00801589,0.00801589
4,783.216,0.55819,0.33989,0.83816,0.9761,0.94863,0.98293,0.88676,0.48645,0.29952,0.82754,0.00703,0.00703,0.00703
5,968.738,0.52299,0.31655,0.83053,0.97785,0.95091,0.98476,0.89684,0.45166,0.27584,0.8182,0.00604,0.00604,0.00604
6,1152.57,0.50031,0.3003,0.8257,0.98028,0.95285,0.98613,0.90247,0.44985,0.26675,0.81833,0.00505,0.00505,0.00505
7,1337.45,0.48288,0.28862,0.82169,0.98337,0.95226,0.9864,0.9091,0.42004,0.25484,0.81213,0.00406,0.00406,0.00406
8,1521.48,0.46553,0.2754,0.81817,0.98088,0.95731,0.98794,0.91789,0.4022,0.23775,0.8083,0.00307,0.00307,0.00307
9,1706.13,0.44946,0.26199,0.81486,0.98213,0.95624,0.98742,0.91569,0.3991,0.23658,0.80828,0.00208,0.00208,0.00208
10,1890.48,0.43148,0.24793,0.81162,0.98292,0.95897,0.98921,0.92259,0.38531,0.22261,0.804,0.00109,0.00109,0.00109
