epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,232.844,0.68053,0.49317,0.86339,0.95844,0.92334,0.96941,0.79632,0.67071,0.5544,0.86083,0.0700461,0.00332821,0.00332821
2,426.25,0.61459,0.38899,0.84993,0.96879,0.94381,0.97854,0.83972,0.5846,0.38185,0.84512,0.0393866,0.00600205,0.00600205
3,624.222,0.56826,0.35466,0.8389,0.97662,0.94657,0.97933,0.86038,0.52085,0.32979,0.83326,0.0080671,0.00801589,0.00801589
4,825.114,0.54491,0.33518,0.83439,0.97716,0.94978,0.98301,0.87863,0.48297,0.3092,0.82396,0.00703,0.00703,0.00703
5,1025.88,0.51734,0.31517,0.82851,0.9763,0.9555,0.98456,0.89017,0.45943,0.28216,0.81769,0.00604,0.00604,0.00604
6,1223.79,0.49526,0.29955,0.82328,0.97816,0.95445,0.98566,0.89723,0.45247,0.27384,0.81804,0.00505,0.00505,0.00505
7,1425.44,0.47908,0.28613,0.81961,0.98011,0.95539,0.98685,0.90932,0.4223,0.25442,0.81243,0.00406,0.00406,0.00406
8,1622.57,0.46294,0.27488,0.81635,0.98103,0.95505,0.98694,0.9104,0.42115,0.24879,0.81136,0.00307,0.00307,0.00307
9,1820.64,0.44768,0.26263,0.81304,0.98027,0.95782,0.98851,0.91897,0.39699,0.23485,0.80719,0.00208,0.00208,0.00208
10,2033.01,0.43192,0.24907,0.81055,0.98089,0.95934,0.98977,0.92396,0.38387,0.22196,0.80345,0.00109,0.00109,0.00109
