epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,224.625,0.6808,0.47922,0.8911,0.97157,0.93359,0.97183,0.80493,0.65452,0.46715,0.88039,0.0700461,0.00332821,0.00332821
2,413.472,0.61379,0.37648,0.8685,0.97558,0.94453,0.9777,0.8506,0.54182,0.36479,0.8453,0.0393866,0.00600205,0.00600205
3,597.175,0.56917,0.34363,0.85607,0.97829,0.94976,0.98093,0.85758,0.52671,0.32973,0.83994,0.0080671,0.00801589,0.00801589
4,781.011,0.54158,0.32473,0.84793,0.98004,0.94753,0.98231,0.87546,0.4985,0.30501,0.8339,0.00703,0.00703,0.00703
5,965.407,0.51951,0.30736,0.84189,0.98092,0.95179,0.98297,0.87223,0.51005,0.293,0.83787,0.00604,0.00604,0.00604
6,1149.78,0.50014,0.2935,0.83574,0.98142,0.95324,0.98603,0.89452,0.45636,0.26941,0.82562,0.00505,0.00505,0.00505
7,1332.76,0.48437,0.28276,0.83267,0.97926,0.95686,0.98642,0.90235,0.42796,0.25554,0.81843,0.00406,0.00406,0.00406
8,1516.25,0.46738,0.26996,0.82766,0.98106,0.95679,0.98748,0.90423,0.42591,0.24784,0.81608,0.00307,0.00307,0.00307
9,1699.75,0.45451,0.25964,0.8241,0.98265,0.95672,0.98809,0.9165,0.40185,0.23211,0.81247,0.00208,0.00208,0.00208
10,1883.89,0.43818,0.24637,0.82108,0.98117,0.96103,0.98962,0.91907,0.3898,0.22136,0.80904,0.00109,0.00109,0.00109
