epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,224.316,0.66391,0.48282,0.86255,0.91135,0.88129,0.93819,0.78936,0.65258,0.69074,0.86361,0.0700461,0.00332821,0.00332821
2,412.55,0.59404,0.37372,0.84907,0.97498,0.94882,0.98067,0.85549,0.51866,0.34884,0.83407,0.0393866,0.00600205,0.00600205
3,596.432,0.55228,0.34109,0.83777,0.97687,0.94233,0.98009,0.85858,0.53031,0.32831,0.83509,0.0080671,0.00801589,0.00801589
4,779.69,0.52928,0.32336,0.83339,0.97616,0.93984,0.97716,0.87023,0.49251,0.30917,0.82892,0.00703,0.00703,0.00703
5,962.989,0.50049,0.30313,0.8275,0.97851,0.94886,0.98482,0.89366,0.47117,0.28198,0.82193,0.00604,0.00604,0.00604
6,1146.12,0.47976,0.28783,0.82292,0.98206,0.95473,0.98739,0.91104,0.42126,0.2544,0.81149,0.00505,0.00505,0.00505
7,1330.63,0.46231,0.27532,0.81848,0.98106,0.95465,0.98694,0.91151,0.41576,0.25193,0.80994,0.00406,0.00406,0.00406
8,1513.64,0.44541,0.2636,0.81503,0.98174,0.95699,0.98826,0.9197,0.39546,0.23633,0.80608,0.00307,0.00307,0.00307
9,1697.51,0.43028,0.25081,0.81171,0.98264,0.95633,0.98868,0.92171,0.38826,0.22939,0.8044,0.00208,0.00208,0.00208
10,1881.8,0.41495,0.23833,0.80894,0.98315,0.95829,0.98949,0.92645,0.37733,0.21709,0.80237,0.00109,0.00109,0.00109
