epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,224.071,0.71703,0.51498,0.87256,0.94423,0.8622,0.94295,0.75267,0.74954,0.73588,0.8808,0.0696167,0.00289887,0.00289887
2,412.899,0.63907,0.4019,0.85613,0.97507,0.93985,0.97755,0.85236,0.52791,0.34951,0.83666,0.0386123,0.00522779,0.00522779
3,596.467,0.59962,0.36912,0.84634,0.97649,0.94574,0.98249,0.8792,0.49042,0.31297,0.82944,0.00703305,0.00698184,0.00698184
4,780.097,0.56774,0.3464,0.83992,0.97668,0.94931,0.98312,0.87596,0.49573,0.30237,0.82922,0.00612313,0.00612313,0.00612313
5,963.746,0.52878,0.31976,0.83175,0.97851,0.95198,0.98481,0.89513,0.45605,0.28018,0.81993,0.00526084,0.00526084,0.00526084
6,1147.16,0.5024,0.30197,0.82537,0.98177,0.95357,0.98642,0.90767,0.43504,0.26158,0.81501,0.00439855,0.00439855,0.00439855
7,1331.9,0.48447,0.28835,0.82166,0.98024,0.95456,0.98681,0.90532,0.42273,0.25426,0.81142,0.00353626,0.00353626,0.00353626
8,1515.86,0.46605,0.27532,0.81785,0.98071,0.95552,0.98724,0.91342,0.40836,0.24149,0.80872,0.00267397,0.00267397,0.00267397
9,1699.9,0.45045,0.26323,0.8142,0.98076,0.95567,0.98771,0.91703,0.39857,0.23558,0.80697,0.00181168,0.00181168,0.00181168
10,1883.63,0.43264,0.24964,0.81123,0.98257,0.95675,0.98904,0.92406,0.38211,0.22339,0.80259,0.00094939,0.00094939,0.00094939
