epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,232.37,0.66056,0.47513,0.87195,0.96891,0.93103,0.96368,0.79743,0.66934,0.58248,0.87902,0.0700461,0.00332821,0.00332821
2,427.344,0.58808,0.36492,0.85624,0.97686,0.93824,0.97171,0.83473,0.58777,0.35426,0.85561,0.0393866,0.00600205,0.00600205
3,612.574,0.54795,0.33413,0.84373,0.97698,0.94535,0.97625,0.86614,0.49809,0.32277,0.83659,0.0080671,0.00801589,0.00801589
4,795.691,0.52474,0.31815,0.8386,0.98027,0.9471,0.9819,0.88328,0.4599,0.29367,0.82534,0.00703,0.00703,0.00703
5,978.819,0.49429,0.29834,0.83169,0.97973,0.95319,0.98547,0.89891,0.44448,0.27446,0.81986,0.00604,0.00604,0.00604
6,1162.14,0.47533,0.28336,0.82712,0.9798,0.95356,0.98475,0.89873,0.43706,0.26321,0.81904,0.00505,0.00505,0.00505
7,1345.82,0.45794,0.27152,0.82224,0.98051,0.95352,0.98659,0.91034,0.41755,0.25061,0.81323,0.00406,0.00406,0.00406
8,1528.36,0.44248,0.26042,0.81874,0.98147,0.95752,0.98841,0.91546,0.39514,0.23693,0.80907,0.00307,0.00307,0.00307
9,1711.17,0.42701,0.24827,0.81506,0.98042,0.95905,0.98644,0.91341,0.38278,0.23011,0.80675,0.00208,0.00208,0.00208
10,1894.78,0.41169,0.23648,0.81192,0.98018,0.95978,0.98711,0.91959,0.37087,0.21962,0.80348,0.00109,0.00109,0.00109
