epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,223.305,0.71487,0.51286,0.8704,0.96303,0.92379,0.96953,0.7988,0.69645,0.46904,0.86867,0.06968,0.00296211,0.00296211
2,410.628,0.63683,0.40196,0.85511,0.97507,0.94198,0.98069,0.85195,0.56921,0.35264,0.84257,0.0387264,0.00534183,0.00534183
3,594.088,0.59585,0.36844,0.84503,0.978,0.94657,0.9827,0.86909,0.50741,0.31669,0.83074,0.00718535,0.00713415,0.00713415
4,776.765,0.56336,0.34438,0.83886,0.97548,0.94334,0.97727,0.87185,0.4803,0.32161,0.82689,0.0062567,0.0062567,0.0062567
5,959.072,0.52494,0.31793,0.83101,0.97854,0.94775,0.98325,0.88621,0.49024,0.29196,0.82699,0.0053756,0.0053756,0.0053756
