epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,226.329,0.67818,0.49195,0.86265,0.95964,0.92967,0.9686,0.7844,0.71833,0.74718,0.88302,0.0700461,0.00332821,0.00332821
2,414.603,0.60997,0.38454,0.84953,0.97632,0.94755,0.98213,0.86,0.54063,0.34001,0.83354,0.0393866,0.00600205,0.00600205
3,599.283,0.5663,0.35164,0.83938,0.97738,0.94537,0.98163,0.8647,0.52488,0.32591,0.8323,0.0080671,0.00801589,0.00801589
4,784.179,0.54218,0.3333,0.83445,0.97792,0.95278,0.98161,0.87179,0.49058,0.31105,0.82808,0.00703,0.00703,0.00703
5,969.796,0.51561,0.31301,0.82895,0.97855,0.95139,0.98485,0.89168,0.47013,0.28416,0.82245,0.00604,0.00604,0.00604
6,1155.03,0.49432,0.29819,0.82411,0.98042,0.95165,0.98447,0.89529,0.45579,0.27249,0.81972,0.00505,0.00505,0.00505
7,1340.36,0.47748,0.28402,0.82043,0.98142,0.954,0.98402,0.9002,0.42246,0.25703,0.8118,0.00406,0.00406,0.00406
8,1524.91,0.46241,0.27295,0.81696,0.98212,0.95354,0.98674,0.9134,0.41401,0.24871,0.80898,0.00307,0.00307,0.00307
9,1710.23,0.44611,0.26161,0.81341,0.98108,0.95504,0.98822,0.91999,0.40033,0.23681,0.80644,0.00208,0.00208,0.00208
10,1896.05,0.42973,0.24751,0.81016,0.98137,0.95925,0.98928,0.92207,0.3864,0.22369,0.80387,0.00109,0.00109,0.00109
