epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,223.972,0.68404,0.49473,0.86717,0.95712,0.9186,0.96827,0.78175,0.69992,0.52367,0.87959,0.0700461,0.00332821,0.00332821
2,411.789,0.61412,0.387,0.85066,0.97262,0.94682,0.98078,0.85524,0.53331,0.34525,0.83469,0.0393866,0.00600205,0.00600205
3,596.068,0.56808,0.35302,0.83973,0.97566,0.94124,0.97859,0.86869,0.50088,0.32559,0.8298,0.0080671,0.00801589,0.00801589
4,780.371,0.54526,0.33572,0.8348,0.97835,0.9512,0.98417,0.88353,0.48016,0.29719,0.82434,0.00703,0.00703,0.00703
5,964.565,0.51761,0.31371,0.8288,0.97821,0.95335,0.98565,0.89621,0.4598,0.27301,0.81974,0.00604,0.00604,0.00604
6,1148.51,0.49565,0.29862,0.82404,0.98194,0.95362,0.98679,0.90483,0.44006,0.26473,0.81531,0.00505,0.00505,0.00505
7,1332.59,0.48018,0.28665,0.82041,0.98171,0.95482,0.98721,0.91133,0.41135,0.24815,0.81021,0.00406,0.00406,0.00406
8,1517.32,0.46389,0.27463,0.81661,0.98027,0.95012,0.98464,0.90842,0.4216,0.25168,0.81296,0.00307,0.00307,0.00307
9,1702.8,0.44888,0.26231,0.81418,0.98157,0.95699,0.98786,0.91873,0.39839,0.23522,0.8065,0.00208,0.00208,0.00208
10,1886.89,0.43316,0.24918,0.81162,0.98117,0.96069,0.98924,0.92255,0.38595,0.2223,0.80412,0.00109,0.00109,0.00109
