epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,223.942,0.70741,0.50898,0.8672,0.95866,0.89654,0.95051,0.76344,0.73396,0.55791,0.88401,0.0692307,0.0025128,0.0025128
2,412.393,0.63462,0.40008,0.85352,0.97746,0.94256,0.97947,0.85967,0.52269,0.34469,0.83364,0.0379162,0.00453165,0.00453165
3,596.343,0.59419,0.3665,0.84412,0.97819,0.93919,0.9709,0.85188,0.52352,0.36679,0.83484,0.0061035,0.0060523,0.0060523
4,779.738,0.56218,0.34412,0.83788,0.97688,0.94917,0.98295,0.88085,0.48545,0.30164,0.82656,0.0053081,0.0053081,0.0053081
5,962.941,0.52542,0.31904,0.83024,0.97729,0.95676,0.98617,0.89548,0.45012,0.27725,0.81791,0.0045608,0.0045608,0.0045608
6,1146.48,0.50122,0.30162,0.82442,0.97881,0.9549,0.98505,0.89787,0.44448,0.26838,0.81694,0.00381351,0.00381351,0.00381351
7,1330.89,0.48216,0.28724,0.82065,0.97961,0.9562,0.9871,0.90926,0.41761,0.25369,0.81032,0.00306621,0.00306621,0.00306621
8,1515.05,0.4635,0.27458,0.81664,0.98014,0.95821,0.98753,0.91195,0.40742,0.24048,0.80929,0.00231891,0.00231891,0.00231891
9,1698.58,0.44858,0.26312,0.81303,0.98122,0.95871,0.98797,0.9163,0.3969,0.23495,0.80657,0.00157161,0.00157161,0.00157161
10,1881.64,0.43078,0.24902,0.80993,0.9823,0.95863,0.98908,0.92198,0.3831,0.22318,0.80312,0.000824309,0.000824309,0.000824309
