epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,226.611,0.68192,0.49435,0.86411,0.95129,0.91638,0.95593,0.75315,0.79261,1.10514,0.90143,0.0700461,0.00332821,0.00332821
2,414.48,0.61378,0.38822,0.85064,0.97586,0.94515,0.98059,0.85608,0.55036,0.34778,0.83721,0.0393866,0.00600205,0.00600205
3,598.78,0.56834,0.35392,0.83926,0.9766,0.93749,0.97504,0.86049,0.50706,0.32372,0.82983,0.0080671,0.00801589,0.00801589
4,783.744,0.54356,0.33467,0.83431,0.97714,0.9535,0.98326,0.87839,0.48857,0.30337,0.82651,0.00703,0.00703,0.00703
5,967.495,0.51722,0.31383,0.82915,0.97711,0.95401,0.98451,0.88951,0.45848,0.28473,0.81928,0.00604,0.00604,0.00604
6,1151.76,0.49554,0.29756,0.82413,0.98037,0.95123,0.98623,0.90009,0.44998,0.26659,0.81621,0.00505,0.00505,0.00505
7,1335.99,0.48009,0.28612,0.82018,0.98155,0.95449,0.98719,0.90288,0.43184,0.25703,0.8121,0.00406,0.00406,0.00406
8,1522.69,0.46373,0.2749,0.81696,0.98055,0.95643,0.98735,0.90814,0.4185,0.24981,0.81012,0.00307,0.00307,0.00307
9,1713.04,0.44891,0.26268,0.81375,0.9824,0.9562,0.98749,0.91789,0.3993,0.23473,0.8073,0.00208,0.00208,0.00208
10,1905.57,0.43233,0.24941,0.81088,0.98097,0.9603,0.98917,0.91996,0.38996,0.22559,0.80412,0.00109,0.00109,0.00109
