epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,224.209,0.66352,0.48382,0.86037,0.93564,0.91286,0.95911,0.76915,0.7649,0.48697,0.88785,0.0700461,0.00332821,0.00332821
2,411.929,0.59884,0.37968,0.84831,0.97885,0.94718,0.98161,0.8672,0.52499,0.33106,0.83098,0.0393866,0.00600205,0.00600205
3,594.753,0.54962,0.34251,0.83671,0.97742,0.94535,0.97946,0.86968,0.4942,0.32844,0.82543,0.0080671,0.00801589,0.00801589
4,777.289,0.52725,0.32518,0.83141,0.97762,0.95009,0.98395,0.88251,0.47934,0.29585,0.8243,0.00703,0.00703,0.00703
5,959.843,0.49956,0.30546,0.82593,0.97837,0.95211,0.98309,0.89246,0.45293,0.28035,0.81713,0.00604,0.00604,0.00604
6,1142.29,0.4801,0.29068,0.82095,0.98124,0.95244,0.98575,0.90703,0.42772,0.2643,0.81234,0.00505,0.00505,0.00505
7,1324.5,0.46246,0.27817,0.81763,0.98256,0.95521,0.9873,0.91279,0.41346,0.24993,0.80901,0.00406,0.00406,0.00406
8,1507.36,0.44641,0.26644,0.81395,0.98053,0.95867,0.98796,0.91567,0.399,0.23954,0.80686,0.00307,0.00307,0.00307
9,1689.63,0.43232,0.25374,0.81121,0.98138,0.95803,0.98814,0.92107,0.3812,0.2284,0.80397,0.00208,0.00208,0.00208
10,1873.46,0.41522,0.24011,0.80837,0.98185,0.96144,0.99,0.92816,0.36891,0.21622,0.8002,0.00109,0.00109,0.00109
