epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,227.705,0.66313,0.48238,0.86263,0.96923,0.93302,0.97028,0.80939,0.62016,0.69349,0.85346,0.0700461,0.00332821,0.00332821
2,415.624,0.59432,0.37427,0.84818,0.97927,0.94183,0.97897,0.86841,0.51221,0.3219,0.83193,0.0393866,0.00600205,0.00600205
3,599.111,0.54705,0.34029,0.83653,0.97579,0.94857,0.98059,0.87135,0.49525,0.31354,0.82829,0.0080671,0.00801589,0.00801589
4,783.377,0.52675,0.32353,0.83155,0.9808,0.95004,0.98284,0.88584,0.46674,0.28972,0.82084,0.00703,0.00703,0.00703
5,966.353,0.49992,0.30473,0.82662,0.97778,0.95097,0.98458,0.89384,0.45624,0.28299,0.81808,0.00604,0.00604,0.00604
6,1150.5,0.47905,0.2897,0.82086,0.98083,0.95371,0.98562,0.90406,0.42412,0.25779,0.81096,0.00505,0.00505,0.00505
7,1334.38,0.46075,0.27573,0.81755,0.98094,0.9576,0.98753,0.9152,0.39996,0.24669,0.80682,0.00406,0.00406,0.00406
8,1517.63,0.44595,0.26504,0.81455,0.98175,0.95651,0.98786,0.91553,0.40638,0.24148,0.80863,0.00307,0.00307,0.00307
9,1701.69,0.43139,0.25277,0.81123,0.98233,0.95837,0.98853,0.92233,0.38019,0.22667,0.80283,0.00208,0.00208,0.00208
10,1884.82,0.41431,0.23963,0.80849,0.98329,0.95986,0.98951,0.92935,0.36926,0.21695,0.80027,0.00109,0.00109,0.00109
