epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,226.295,0.65323,0.47792,0.8592,0.96493,0.9158,0.95971,0.79573,0.64926,0.85667,0.86097,0.0700461,0.00332821,0.00332821
2,414.089,0.59596,0.37989,0.84796,0.97616,0.94814,0.98085,0.86205,0.51254,0.32181,0.82992,0.0393866,0.00600205,0.00600205
3,597.92,0.54892,0.34365,0.83696,0.9798,0.94424,0.97363,0.85783,0.51582,0.35016,0.83168,0.0080671,0.00801589,0.00801589
4,781.514,0.52629,0.324,0.83171,0.97725,0.9503,0.98229,0.87788,0.48725,0.30432,0.82384,0.00703,0.00703,0.00703
5,964.976,0.50385,0.30836,0.827,0.97931,0.95449,0.98603,0.90264,0.44918,0.27591,0.81681,0.00604,0.00604,0.00604
6,1149.06,0.48303,0.29269,0.82161,0.98197,0.95284,0.98388,0.89451,0.4424,0.26844,0.81497,0.00505,0.00505,0.00505
7,1334.2,0.46718,0.27978,0.81882,0.98185,0.95539,0.98731,0.91294,0.41936,0.25168,0.81116,0.00406,0.00406,0.00406
8,1517.84,0.45242,0.26907,0.81565,0.98155,0.95629,0.98807,0.91308,0.41084,0.24644,0.80805,0.00307,0.00307,0.00307
9,1701.6,0.43951,0.25856,0.81229,0.98077,0.95892,0.98848,0.91853,0.39299,0.23694,0.80485,0.00208,0.00208,0.00208
10,1885.6,0.42381,0.24575,0.81007,0.98199,0.96044,0.98948,0.92406,0.37975,0.22119,0.80237,0.00109,0.00109,0.00109
