epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,225.01,0.65515,0.47947,0.85943,0.9681,0.93372,0.97258,0.81111,0.6295,0.56219,0.85536,0.0700461,0.00332821,0.00332821
2,412.491,0.59394,0.37785,0.84831,0.97808,0.9449,0.97853,0.85872,0.51742,0.33498,0.83352,0.0393866,0.00600205,0.00600205
3,596.974,0.54869,0.34273,0.83691,0.97579,0.94821,0.98034,0.8509,0.53833,0.34512,0.83147,0.0080671,0.00801589,0.00801589
4,781.67,0.52599,0.32447,0.83166,0.97775,0.94875,0.98313,0.88259,0.48645,0.30068,0.82683,0.00703,0.00703,0.00703
5,965.639,0.50697,0.31026,0.82771,0.97922,0.95339,0.98409,0.89267,0.45053,0.27833,0.81747,0.00604,0.00604,0.00604
6,1150.18,0.48471,0.29408,0.82257,0.97876,0.95464,0.98551,0.89479,0.44641,0.27482,0.81521,0.00505,0.00505,0.00505
7,1334.24,0.46794,0.28116,0.81908,0.97827,0.95594,0.98681,0.91121,0.4156,0.24949,0.81013,0.00406,0.00406,0.00406
8,1518.34,0.45351,0.27019,0.81655,0.97986,0.9588,0.98763,0.91187,0.41627,0.24665,0.80978,0.00307,0.00307,0.00307
9,1702.65,0.43969,0.25882,0.81258,0.98168,0.95764,0.98842,0.92056,0.39709,0.23474,0.80556,0.00208,0.00208,0.00208
10,1886.66,0.42396,0.24541,0.8104,0.98213,0.95946,0.98929,0.92377,0.38122,0.22089,0.80265,0.00109,0.00109,0.00109
