epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,227.097,0.66289,0.48184,0.86087,0.95046,0.91917,0.96584,0.79404,0.67682,0.69476,0.86803,0.0700461,0.00332821,0.00332821
2,415.48,0.59299,0.37449,0.8468,0.97719,0.9464,0.98057,0.85482,0.53257,0.34006,0.83236,0.0393866,0.00600205,0.00600205
3,597.66,0.54713,0.34208,0.83583,0.97174,0.9276,0.9672,0.8564,0.51695,0.336,0.83326,0.0080671,0.00801589,0.00801589
4,779.28,0.52694,0.32512,0.8316,0.97772,0.95109,0.98479,0.88817,0.46506,0.29773,0.81919,0.00703,0.00703,0.00703
5,962.569,0.49963,0.30553,0.826,0.97971,0.9529,0.98606,0.90051,0.44159,0.27784,0.81469,0.00604,0.00604,0.00604
6,1145.43,0.47811,0.29062,0.81975,0.983,0.95147,0.98424,0.89993,0.43421,0.26564,0.81401,0.00505,0.00505,0.00505
7,1328.75,0.46135,0.27827,0.81717,0.98171,0.95643,0.98725,0.91198,0.4133,0.24861,0.81014,0.00406,0.00406,0.00406
8,1511.84,0.44552,0.26628,0.81432,0.98281,0.95725,0.98796,0.91925,0.39681,0.23856,0.80634,0.00307,0.00307,0.00307
9,1695.19,0.43078,0.2551,0.81093,0.98157,0.95903,0.98925,0.92407,0.37806,0.22839,0.80212,0.00208,0.00208,0.00208
10,1877.83,0.41217,0.2406,0.80754,0.98251,0.96069,0.98995,0.92952,0.3698,0.21778,0.80083,0.00109,0.00109,0.00109
