epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,234.248,0.68364,0.49443,0.8643,0.96052,0.91726,0.96613,0.79822,0.65971,0.55555,0.8666,0.0699629,0.00324501,0.00324501
2,430.938,0.61678,0.38782,0.85036,0.97771,0.94648,0.9803,0.85869,0.53011,0.33589,0.835,0.0392366,0.00585207,0.00585207
3,620.391,0.5726,0.35515,0.84002,0.97549,0.94008,0.98105,0.859,0.5549,0.33538,0.8406,0.00786689,0.00781569,0.00781569
4,810.131,0.5447,0.33542,0.83491,0.97888,0.95052,0.98302,0.88539,0.46803,0.29315,0.82276,0.00685454,0.00685454,0.00685454
5,999.945,0.51605,0.31311,0.82833,0.97833,0.94867,0.98009,0.86774,0.51209,0.29642,0.83,0.00588939,0.00588939,0.00588939
6,1189.52,0.49476,0.29932,0.8235,0.9801,0.95328,0.98653,0.90403,0.43677,0.26524,0.81427,0.00492424,0.00492424,0.00492424
7,1379.16,0.47687,0.28615,0.81925,0.97998,0.95607,0.98657,0.90475,0.42132,0.25147,0.81106,0.00395909,0.00395909,0.00395909
8,1568.72,0.46117,0.27356,0.81626,0.9827,0.95612,0.98736,0.9123,0.40696,0.2425,0.80799,0.00299393,0.00299393,0.00299393
9,1758.71,0.44499,0.26178,0.81232,0.98231,0.95749,0.98844,0.9188,0.39275,0.23318,0.80528,0.00202878,0.00202878,0.00202878
10,1948.61,0.4273,0.24758,0.81016,0.98444,0.95793,0.98942,0.92367,0.38133,0.22016,0.80276,0.00106363,0.00106363,0.00106363
