epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,234.684,0.72687,0.52227,0.87542,0.84532,0.78954,0.85518,0.68876,0.73618,1.12767,0.87772,0.0699629,0.00324501,0.00324501
2,431.212,0.64564,0.40624,0.85768,0.97891,0.94484,0.98132,0.86116,0.53814,0.34091,0.83782,0.0392365,0.005852,0.005852
3,616.715,0.60497,0.37093,0.84723,0.96915,0.91855,0.96758,0.85616,0.50856,0.35864,0.83101,0.0078667,0.0078155,0.0078155
4,800.371,0.56905,0.34684,0.84003,0.97961,0.94654,0.9824,0.8862,0.47735,0.30194,0.82533,0.00685425,0.00685425,0.00685425
5,984.32,0.53066,0.3212,0.83206,0.97933,0.9492,0.98511,0.89305,0.46259,0.28143,0.8206,0.005889,0.005889,0.005889
6,1168.52,0.50564,0.30367,0.82642,0.97939,0.94921,0.98512,0.90758,0.42921,0.26367,0.81418,0.00492375,0.00492375,0.00492375
7,1351.95,0.4851,0.28955,0.82186,0.97969,0.94995,0.98575,0.90861,0.42552,0.25676,0.81244,0.0039585,0.0039585,0.0039585
8,1535.97,0.46669,0.27648,0.81786,0.98171,0.95295,0.9874,0.91406,0.40526,0.24285,0.80869,0.00299325,0.00299325,0.00299325
9,1719.98,0.45061,0.26354,0.81446,0.98072,0.95395,0.98732,0.91767,0.39697,0.23928,0.80592,0.002028,0.002028,0.002028
10,1903.32,0.43261,0.24968,0.81145,0.98257,0.95666,0.98841,0.92427,0.38778,0.22569,0.80471,0.00106275,0.00106275,0.00106275
