epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,264.964,0.59404,0.4099,0.83595,0.97486,0.95176,0.98527,0.86828,0.50081,0.35436,0.81735,0.0670254,0.000333077,0.000333077
2,487.616,0.53685,0.35055,0.82415,0.98116,0.94884,0.98547,0.88302,0.47562,0.32518,0.8143,0.0339594,0.000600436,0.000600436
3,703.41,0.51084,0.33017,0.81868,0.97841,0.9549,0.98773,0.89601,0.44495,0.2974,0.80938,0.000827416,0.000801795,0.000801795
4,917.912,0.4888,0.31272,0.81525,0.98099,0.95473,0.98864,0.89997,0.43465,0.28499,0.80839,0.000703,0.000703,0.000703
5,1132.6,0.47031,0.29633,0.81339,0.98016,0.95861,0.98822,0.91404,0.40926,0.26582,0.80411,0.000604,0.000604,0.000604
6,1346.81,0.45739,0.28663,0.81041,0.97982,0.96103,0.98941,0.91591,0.4002,0.25921,0.80289,0.000505,0.000505,0.000505
7,1561.68,0.44309,0.27559,0.8073,0.98088,0.96128,0.99025,0.91988,0.39144,0.24962,0.80041,0.000406,0.000406,0.000406
8,1776.31,0.42855,0.26471,0.8051,0.98241,0.96055,0.98994,0.92203,0.38563,0.24624,0.79822,0.000307,0.000307,0.000307
9,1991.08,0.41763,0.25465,0.80232,0.98379,0.96091,0.99052,0.92739,0.37213,0.23358,0.79734,0.000208,0.000208,0.000208
10,2205.83,0.40429,0.244,0.80026,0.98289,0.96314,0.99107,0.9302,0.36536,0.22608,0.79513,0.000109,0.000109,0.000109
