epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,225.453,0.68873,0.49798,0.86546,0.95691,0.92866,0.97025,0.79643,0.66213,0.47102,0.86402,0.0700461,0.00332821,0.00332821
2,414.46,0.61659,0.38865,0.85088,0.97461,0.93515,0.97122,0.84393,0.55282,0.35948,0.83996,0.0393866,0.00600206,0.00600206
3,599.793,0.57286,0.35496,0.84013,0.97882,0.94166,0.97364,0.8538,0.52998,0.33903,0.83351,0.00806712,0.00801591,0.00801591
4,784.946,0.54539,0.33404,0.83483,0.97696,0.94866,0.97814,0.87817,0.46884,0.31307,0.82464,0.00703003,0.00703003,0.00703003
5,968.676,0.51772,0.31497,0.82898,0.98059,0.94804,0.98281,0.88829,0.46403,0.28296,0.81871,0.00604004,0.00604004,0.00604004
6,1152.77,0.49494,0.29914,0.82403,0.98044,0.94908,0.9852,0.90033,0.44725,0.26883,0.81819,0.00505005,0.00505005,0.00505005
7,1336.42,0.47928,0.28666,0.82022,0.98103,0.9504,0.9838,0.90638,0.42151,0.25755,0.81147,0.00406006,0.00406006,0.00406006
8,1520.4,0.46235,0.27383,0.81715,0.9807,0.95046,0.98466,0.91365,0.409,0.24859,0.80915,0.00307007,0.00307007,0.00307007
9,1704.59,0.44734,0.26182,0.81378,0.98327,0.9533,0.98743,0.92097,0.39634,0.23695,0.80633,0.00208008,0.00208008,0.00208008
10,1888.77,0.43083,0.24851,0.81117,0.98202,0.95548,0.98817,0.92284,0.38894,0.22692,0.80358,0.00109009,0.00109009,0.00109009
