epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,224.53,0.67711,0.49182,0.86166,0.94384,0.92287,0.96511,0.77498,0.71431,0.66932,0.88023,0.0698131,0.00309524,0.00309524
2,411.667,0.60888,0.38631,0.84966,0.97322,0.94552,0.98062,0.85577,0.54892,0.34434,0.83884,0.0389664,0.00558191,0.00558191
3,595.475,0.56264,0.35105,0.83878,0.98563,0.91229,0.95195,0.82581,0.56163,0.42908,0.84228,0.00750598,0.00745478,0.00745478
4,778.698,0.54112,0.33254,0.8342,0.97763,0.95234,0.98454,0.888,0.47419,0.29535,0.82392,0.0065379,0.0065379,0.0065379
5,962.064,0.51285,0.31213,0.82793,0.97697,0.95607,0.98534,0.88744,0.46795,0.28556,0.81876,0.0056172,0.0056172,0.0056172
6,1145.21,0.49146,0.29684,0.82334,0.98028,0.95245,0.98213,0.89413,0.43833,0.26999,0.81454,0.0046965,0.0046965,0.0046965
7,1331.63,0.47728,0.28526,0.8201,0.98053,0.95769,0.98719,0.90903,0.41648,0.24868,0.81037,0.0037758,0.0037758,0.0037758
8,1521.96,0.46128,0.2735,0.81649,0.98116,0.95504,0.9871,0.91116,0.41576,0.24611,0.80976,0.0028551,0.0028551,0.0028551
9,1714.54,0.44635,0.26176,0.8134,0.98081,0.9591,0.98901,0.91892,0.39557,0.23415,0.80644,0.0019344,0.0019344,0.0019344
10,1904.87,0.42993,0.24839,0.81068,0.98147,0.95963,0.98919,0.92241,0.3869,0.22204,0.80384,0.0010137,0.0010137,0.0010137
