epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,225.627,0.67634,0.49177,0.86091,0.95309,0.90898,0.96256,0.78385,0.68929,0.58718,0.87305,0.0700461,0.00332821,0.00332821
2,414.036,0.60668,0.38576,0.84806,0.97571,0.94902,0.98112,0.8572,0.52728,0.35733,0.83075,0.0393866,0.00600205,0.00600205
3,596.707,0.56083,0.35177,0.83757,0.97678,0.94328,0.97878,0.86018,0.51585,0.32567,0.83282,0.0080671,0.00801589,0.00801589
4,778.647,0.53562,0.33113,0.83249,0.97941,0.95005,0.98369,0.88717,0.47209,0.29529,0.81999,0.00703,0.00703,0.00703
5,960.757,0.50752,0.31105,0.82648,0.97753,0.95086,0.98406,0.88816,0.48557,0.29122,0.82227,0.00604,0.00604,0.00604
6,1142.28,0.48677,0.29571,0.82201,0.98206,0.95128,0.98528,0.90456,0.43698,0.26906,0.81365,0.00505,0.00505,0.00505
7,1324.88,0.46863,0.2821,0.8177,0.98088,0.9554,0.98718,0.91389,0.40895,0.24673,0.80793,0.00406,0.00406,0.00406
8,1507.84,0.45319,0.27059,0.81459,0.98273,0.95262,0.98659,0.91482,0.39914,0.24378,0.80641,0.00307,0.00307,0.00307
9,1690.64,0.43862,0.25919,0.81104,0.98112,0.95708,0.98835,0.92465,0.38322,0.22963,0.80352,0.00208,0.00208,0.00208
10,1873.97,0.422,0.2449,0.80878,0.98304,0.95803,0.98876,0.92669,0.37673,0.222,0.80217,0.00109,0.00109,0.00109
