epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,224.48,0.67224,0.48834,0.86122,0.94866,0.91432,0.96733,0.79607,0.65952,0.5929,0.86668,0.0700195,0.00330159,0.00330159
2,412.541,0.60616,0.38521,0.84839,0.97551,0.94687,0.98091,0.85756,0.5285,0.36122,0.8319,0.0393386,0.0059541,0.0059541
3,597.434,0.56458,0.35293,0.83805,0.9771,0.94875,0.98009,0.85914,0.51525,0.33692,0.82991,0.00800315,0.00795194,0.00795194
4,781.088,0.53922,0.33398,0.83272,0.97839,0.95159,0.98296,0.87335,0.49113,0.30602,0.8257,0.00697403,0.00697403,0.00697403
5,964.539,0.51212,0.31312,0.82682,0.97971,0.95299,0.98239,0.8858,0.45777,0.28412,0.81825,0.00599204,0.00599204,0.00599204
6,1149.44,0.49477,0.30092,0.82301,0.98138,0.95142,0.98551,0.90124,0.44574,0.27502,0.81594,0.00501005,0.00501005,0.00501005
7,1333.35,0.47754,0.28764,0.81936,0.98145,0.95395,0.9866,0.90486,0.4215,0.26112,0.81082,0.00402806,0.00402806,0.00402806
8,1517.55,0.46535,0.27699,0.81687,0.98108,0.95689,0.98639,0.90491,0.42787,0.25309,0.8122,0.00304606,0.00304606,0.00304606
9,1702.65,0.45126,0.26645,0.81358,0.9806,0.95873,0.98798,0.91624,0.4059,0.23913,0.8084,0.00206407,0.00206407,0.00206407
10,1886.87,0.43398,0.25185,0.811,0.98303,0.95953,0.98884,0.91904,0.38981,0.22699,0.80453,0.00108208,0.00108208,0.00108208
