epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,225.605,0.65125,0.47136,0.86758,0.9625,0.92586,0.96906,0.79719,0.6832,0.54754,0.88086,0.0700461,0.00332821,0.00332821
2,414.047,0.58398,0.36366,0.85427,0.97888,0.94786,0.98054,0.86209,0.52005,0.32202,0.83746,0.0393866,0.00600205,0.00600205
3,597.325,0.54155,0.3321,0.84239,0.97936,0.94875,0.97814,0.86295,0.50999,0.31361,0.83481,0.0080671,0.00801589,0.00801589
4,780.964,0.51837,0.31639,0.83722,0.98079,0.94864,0.98352,0.88401,0.48864,0.29322,0.83145,0.00703,0.00703,0.00703
5,964.825,0.4931,0.29634,0.83118,0.97806,0.95348,0.98371,0.89428,0.44084,0.2687,0.81973,0.00604,0.00604,0.00604
6,1148.26,0.47381,0.28251,0.82667,0.98047,0.94915,0.98393,0.90193,0.43401,0.26078,0.81852,0.00505,0.00505,0.00505
7,1333.26,0.45651,0.27075,0.82173,0.98304,0.9536,0.9865,0.90877,0.41635,0.24431,0.81459,0.00406,0.00406,0.00406
8,1517.24,0.44099,0.25903,0.81829,0.98109,0.95406,0.98671,0.91668,0.39748,0.23904,0.80948,0.00307,0.00307,0.00307
9,1701.25,0.42745,0.24814,0.81495,0.9826,0.95499,0.98839,0.92049,0.3882,0.22892,0.80714,0.00208,0.00208,0.00208
10,1885.22,0.41303,0.23665,0.81199,0.98149,0.95858,0.98919,0.92463,0.37814,0.21942,0.80482,0.00109,0.00109,0.00109
