epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,234.844,0.68014,0.49148,0.86397,0.9616,0.91342,0.96332,0.76038,0.78435,0.67539,0.89419,0.0700195,0.00330159,0.00330159
2,430.532,0.6117,0.38566,0.85116,0.97313,0.93476,0.96964,0.85091,0.54812,0.36015,0.83858,0.0393386,0.00595404,0.00595404
3,619.929,0.56771,0.35308,0.84057,0.97278,0.94715,0.98106,0.86136,0.51117,0.32174,0.83169,0.00800297,0.00795177,0.00795177
4,808.783,0.54359,0.33403,0.83535,0.97523,0.94329,0.98135,0.88705,0.47781,0.29613,0.82605,0.00697376,0.00697376,0.00697376
5,998.458,0.51467,0.31225,0.82853,0.97773,0.95401,0.98472,0.88324,0.47382,0.28614,0.81972,0.00599168,0.00599168,0.00599168
6,1187.52,0.4934,0.29777,0.82409,0.98195,0.95151,0.98576,0.89636,0.4594,0.27223,0.81884,0.0050096,0.0050096,0.0050096
7,1376.79,0.47762,0.28505,0.82008,0.98164,0.95281,0.9868,0.9079,0.42557,0.2562,0.81236,0.00402752,0.00402752,0.00402752
8,1565.04,0.46245,0.27482,0.81675,0.98091,0.95741,0.98787,0.91072,0.41386,0.24627,0.81052,0.00304544,0.00304544,0.00304544
9,1756.14,0.44759,0.26282,0.81348,0.98226,0.95719,0.9886,0.91696,0.39569,0.23532,0.80703,0.00206336,0.00206336,0.00206336
10,1945.34,0.43051,0.24815,0.81098,0.98261,0.95879,0.98951,0.92279,0.38534,0.22324,0.80374,0.00108128,0.00108128,0.00108128
