epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,260.762,0.69177,0.49989,0.86449,0.95179,0.91232,0.96243,0.78339,0.69399,0.56146,0.88003,0.0700461,0.00332821,0.00332821
2,473.388,0.62354,0.39322,0.85119,0.97504,0.94663,0.98001,0.84992,0.5492,0.36938,0.83546,0.0393866,0.00600205,0.00600205
3,677.511,0.57886,0.36011,0.84101,0.97478,0.94618,0.97869,0.86828,0.50852,0.33203,0.82824,0.0080671,0.00801589,0.00801589
4,881.99,0.55459,0.34008,0.83559,0.97491,0.94764,0.98214,0.87857,0.49886,0.31176,0.82804,0.00703,0.00703,0.00703
5,1089.12,0.52491,0.31963,0.82923,0.97896,0.91607,0.95167,0.85015,0.49442,0.37579,0.82673,0.00604,0.00604,0.00604
6,1299.98,0.50403,0.30278,0.82488,0.97926,0.95108,0.985,0.89776,0.45221,0.28077,0.81755,0.00505,0.00505,0.00505
7,1493.42,0.48871,0.29167,0.82195,0.98096,0.95187,0.98681,0.90991,0.42285,0.25648,0.81161,0.00406,0.00406,0.00406
8,1690.43,0.47129,0.27878,0.81755,0.97908,0.9559,0.9865,0.91211,0.41856,0.25053,0.81034,0.00307,0.00307,0.00307
9,1885.47,0.45621,0.26715,0.81423,0.9826,0.95433,0.98769,0.91646,0.4006,0.23844,0.80686,0.00208,0.00208,0.00208
10,2079.67,0.43803,0.25208,0.81148,0.98199,0.95784,0.98894,0.92124,0.39232,0.22776,0.80503,0.00109,0.00109,0.00109
