epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,224.688,0.68405,0.49388,0.86434,0.89429,0.84832,0.92113,0.70182,0.84595,1.46854,0.91997,0.0699629,0.00324501,0.00324501
2,411.911,0.61265,0.38563,0.84991,0.97483,0.9497,0.9816,0.86138,0.52138,0.33388,0.83237,0.0392372,0.00585266,0.00585266
3,594.886,0.57,0.35378,0.8395,0.97489,0.94574,0.97696,0.86268,0.52404,0.3193,0.83475,0.00786867,0.00781746,0.00781746
4,777.707,0.54611,0.33567,0.83492,0.97733,0.95225,0.98428,0.88406,0.47088,0.29073,0.82362,0.0068572,0.0068572,0.0068572
5,960.148,0.51529,0.31398,0.82847,0.97578,0.95003,0.98424,0.89175,0.46972,0.28852,0.8226,0.00589294,0.00589294,0.00589294
6,1143.18,0.49569,0.29878,0.82433,0.98042,0.95273,0.98667,0.90567,0.43316,0.26197,0.81374,0.00492867,0.00492867,0.00492867
7,1325.4,0.47941,0.28698,0.82063,0.98008,0.95635,0.98731,0.90597,0.42048,0.2528,0.8114,0.00396441,0.00396441,0.00396441
8,1509.09,0.46232,0.27476,0.81708,0.98121,0.95568,0.98674,0.91253,0.40964,0.24601,0.80997,0.00300014,0.00300014,0.00300014
9,1693.27,0.44785,0.26247,0.81358,0.98304,0.95565,0.98829,0.91941,0.39624,0.23502,0.80585,0.00203588,0.00203588,0.00203588
10,1877.07,0.4305,0.24831,0.81083,0.98226,0.95969,0.98947,0.92257,0.38504,0.22307,0.80367,0.00107161,0.00107161,0.00107161
