epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,225.393,0.66,0.48187,0.86041,0.95782,0.9275,0.97098,0.80899,0.64331,0.49704,0.85974,0.0700461,0.00332821,0.00332821
2,414.225,0.59058,0.37409,0.84655,0.97814,0.94554,0.98059,0.86908,0.50005,0.31832,0.82644,0.0393866,0.00600205,0.00600205
3,596.521,0.54573,0.34142,0.8349,0.9783,0.94722,0.98026,0.86565,0.50814,0.33868,0.8279,0.0080671,0.00801589,0.00801589
4,779.094,0.5241,0.32385,0.83043,0.97823,0.95206,0.98409,0.88628,0.46802,0.28938,0.82115,0.00703,0.00703,0.00703
5,962.326,0.49896,0.30507,0.8255,0.9778,0.95374,0.98557,0.88532,0.47504,0.28929,0.82108,0.00604,0.00604,0.00604
6,1145.52,0.47703,0.2888,0.81999,0.98016,0.95496,0.98516,0.9022,0.43133,0.26698,0.81259,0.00505,0.00505,0.00505
7,1327.95,0.46102,0.27727,0.817,0.98254,0.95532,0.98723,0.91211,0.41639,0.24869,0.80965,0.00406,0.00406,0.00406
8,1510.58,0.44414,0.26566,0.8133,0.98237,0.95701,0.98827,0.91789,0.40271,0.23933,0.80687,0.00307,0.00307,0.00307
9,1693.63,0.42993,0.25345,0.80988,0.98071,0.95963,0.98787,0.919,0.38987,0.23149,0.80405,0.00208,0.00208,0.00208
10,1875.78,0.41345,0.2399,0.80765,0.98128,0.96078,0.98992,0.9273,0.37342,0.21785,0.80109,0.00109,0.00109,0.00109
