epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,223.797,0.68501,0.4933,0.87494,0.9289,0.88187,0.94936,0.74548,0.77204,0.60537,0.90725,0.0700461,0.00332821,0.00332821
2,412.327,0.61467,0.38497,0.85774,0.97562,0.94584,0.97859,0.85085,0.5456,0.33511,0.84345,0.0393866,0.00600205,0.00600205
3,596.001,0.56868,0.35263,0.8463,0.97717,0.94731,0.97967,0.86358,0.49988,0.32909,0.83515,0.0080671,0.00801589,0.00801589
4,781.422,0.54535,0.33328,0.84049,0.97713,0.94966,0.98279,0.87152,0.48957,0.31583,0.83134,0.00703,0.00703,0.00703
5,966.097,0.5176,0.31308,0.83417,0.97684,0.94429,0.97796,0.87739,0.461,0.30923,0.82471,0.00604,0.00604,0.00604
6,1150.41,0.49642,0.2986,0.82858,0.98097,0.95222,0.98567,0.89372,0.46136,0.2694,0.82447,0.00505,0.00505,0.00505
7,1334.66,0.48065,0.28626,0.82516,0.97921,0.95658,0.98497,0.90137,0.42702,0.25745,0.81641,0.00406,0.00406,0.00406
8,1519.15,0.46458,0.27542,0.82093,0.98184,0.95672,0.98758,0.90951,0.42257,0.24972,0.81471,0.00307,0.00307,0.00307
9,1703.4,0.45049,0.2635,0.81805,0.98216,0.95759,0.98852,0.91838,0.39889,0.23327,0.80966,0.00208,0.00208,0.00208
10,1887.77,0.4336,0.24971,0.81523,0.98236,0.958,0.98877,0.91918,0.39267,0.22502,0.80829,0.00109,0.00109,0.00109
