epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,224.345,0.68132,0.49385,0.86357,0.9633,0.9354,0.97112,0.80758,0.63826,0.58101,0.86066,0.0700461,0.00332821,0.00332821
2,412.581,0.61648,0.38666,0.85191,0.97767,0.94523,0.98095,0.86404,0.52012,0.34392,0.83127,0.0393866,0.00600205,0.00600205
3,595.922,0.56922,0.35139,0.84015,0.9761,0.94467,0.97802,0.85959,0.52636,0.32626,0.83192,0.0080671,0.00801589,0.00801589
4,779.603,0.54311,0.33272,0.83472,0.97613,0.95229,0.9834,0.88071,0.49509,0.30232,0.82823,0.00703,0.00703,0.00703
5,963.671,0.51922,0.31347,0.82966,0.9791,0.95158,0.98467,0.89485,0.4669,0.28035,0.82078,0.00604,0.00604,0.00604
6,1147.04,0.49629,0.29835,0.82418,0.98063,0.9519,0.98555,0.90277,0.4448,0.26572,0.81615,0.00505,0.00505,0.00505
7,1331.49,0.47966,0.2869,0.81982,0.9808,0.95548,0.98633,0.90439,0.42795,0.25637,0.81294,0.00406,0.00406,0.00406
8,1516.18,0.46208,0.27387,0.81663,0.98075,0.95675,0.98714,0.91026,0.41051,0.24264,0.80959,0.00307,0.00307,0.00307
9,1703.25,0.44812,0.26283,0.81307,0.98091,0.95848,0.98855,0.91782,0.39678,0.23418,0.8065,0.00208,0.00208,0.00208
10,1903.65,0.43151,0.24772,0.8103,0.98239,0.95821,0.98939,0.92401,0.3831,0.22173,0.80311,0.00109,0.00109,0.00109
