epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,222.912,0.68248,0.4932,0.864,0.96827,0.9325,0.97226,0.80649,0.65643,0.44644,0.86114,0.0696966,0.00297875,0.00297875
2,410.378,0.61285,0.38632,0.8498,0.97543,0.94578,0.98122,0.85418,0.54296,0.33337,0.83526,0.0387564,0.00537184,0.00537184
3,593.526,0.57164,0.35382,0.84005,0.98195,0.89634,0.96841,0.8449,0.57174,0.35306,0.84523,0.00722543,0.00717422,0.00717422
4,777.188,0.54642,0.33544,0.83486,0.98035,0.93948,0.9769,0.86924,0.48413,0.3177,0.82424,0.00629185,0.00629185,0.00629185
5,961.083,0.51734,0.31458,0.829,0.97837,0.95237,0.98356,0.89452,0.44951,0.27807,0.81771,0.0054058,0.0054058,0.0054058
6,1144.64,0.49527,0.29885,0.82404,0.97624,0.95632,0.98615,0.9029,0.44273,0.26339,0.81638,0.00451975,0.00451975,0.00451975
7,1328.16,0.48043,0.28749,0.82029,0.98058,0.95694,0.98757,0.90495,0.41652,0.25591,0.81002,0.0036337,0.0036337,0.0036337
8,1511.3,0.46313,0.2741,0.81719,0.98014,0.95654,0.98777,0.91544,0.40566,0.24152,0.80868,0.00274765,0.00274765,0.00274765
9,1694.77,0.44723,0.26215,0.81357,0.98273,0.95611,0.98826,0.91718,0.39579,0.23111,0.80674,0.0018616,0.0018616,0.0018616
10,1878.01,0.43039,0.24821,0.811,0.97951,0.96022,0.98917,0.92313,0.38264,0.22257,0.80323,0.00097555,0.00097555,0.00097555
