epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,226.085,0.68167,0.49249,0.86451,0.93783,0.90227,0.96204,0.77585,0.71059,0.61857,0.87007,0.0700461,0.00332821,0.00332821
2,413.769,0.6132,0.3866,0.85103,0.9746,0.94768,0.98091,0.85274,0.54464,0.3408,0.83673,0.0393866,0.00600205,0.00600205
3,597.964,0.56635,0.35339,0.83917,0.97379,0.94199,0.97753,0.86076,0.52516,0.32678,0.83319,0.0080671,0.00801589,0.00801589
4,781.23,0.54692,0.33655,0.83504,0.97936,0.94718,0.9827,0.87844,0.48476,0.30266,0.82393,0.00703,0.00703,0.00703
5,964.846,0.51803,0.31572,0.82906,0.98025,0.95036,0.9846,0.8916,0.47009,0.287,0.82199,0.00604,0.00604,0.00604
6,1148.69,0.49637,0.29863,0.82401,0.98065,0.9528,0.98543,0.90235,0.44248,0.27135,0.81645,0.00505,0.00505,0.00505
7,1332.15,0.47973,0.28667,0.82004,0.98199,0.95598,0.98587,0.90556,0.41604,0.25213,0.81133,0.00406,0.00406,0.00406
8,1515.89,0.46287,0.27411,0.8169,0.98081,0.95708,0.98722,0.91549,0.40686,0.24016,0.80889,0.00307,0.00307,0.00307
9,1698.6,0.44719,0.26205,0.8126,0.98119,0.95807,0.98796,0.91632,0.39802,0.23497,0.80716,0.00208,0.00208,0.00208
10,1881.74,0.4312,0.24805,0.81036,0.98296,0.95939,0.9895,0.92407,0.38069,0.22031,0.80295,0.00109,0.00109,0.00109
