epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,224.972,0.67891,0.49142,0.86415,0.95344,0.92197,0.96678,0.79733,0.67563,0.65987,0.87257,0.0700461,0.00332821,0.00332821
2,412.411,0.61063,0.38622,0.85108,0.9761,0.94457,0.98124,0.8653,0.5282,0.32907,0.83323,0.0393866,0.00600205,0.00600205
3,597.053,0.56587,0.35112,0.83972,0.97494,0.90906,0.95862,0.84532,0.51277,0.35106,0.83298,0.0080671,0.00801589,0.00801589
4,780.83,0.54114,0.33323,0.83427,0.9782,0.95041,0.98473,0.88802,0.48209,0.29999,0.82537,0.00703,0.00703,0.00703
5,964.275,0.51453,0.31327,0.82886,0.98082,0.94997,0.98507,0.89888,0.45032,0.27668,0.8176,0.00604,0.00604,0.00604
6,1148.78,0.49358,0.29805,0.82386,0.98179,0.9515,0.98458,0.8995,0.44577,0.27019,0.81616,0.00505,0.00505,0.00505
7,1332.79,0.47863,0.28601,0.82032,0.97852,0.95679,0.98705,0.91301,0.41805,0.25295,0.81105,0.00406,0.00406,0.00406
8,1519.49,0.46045,0.27372,0.81645,0.98224,0.95601,0.98705,0.91095,0.41084,0.24297,0.80907,0.00307,0.00307,0.00307
9,1709.78,0.44598,0.26119,0.81336,0.9814,0.9573,0.98788,0.92055,0.39558,0.23329,0.80568,0.00208,0.00208,0.00208
10,1898.65,0.42986,0.24783,0.81025,0.98221,0.95758,0.98844,0.92391,0.38707,0.22511,0.80296,0.00109,0.00109,0.00109
