epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,226.694,0.67168,0.48759,0.86212,0.95527,0.92278,0.96671,0.78971,0.68578,0.64133,0.87308,0.0700461,0.00332821,0.00332821
2,415.79,0.6011,0.38045,0.84822,0.97063,0.94299,0.97906,0.84895,0.54044,0.38695,0.8371,0.0393866,0.00600205,0.00600205
3,600.84,0.55459,0.34667,0.83731,0.97612,0.9443,0.97892,0.86678,0.51524,0.32188,0.83149,0.0080671,0.00801589,0.00801589
4,786.095,0.52989,0.32685,0.83189,0.98685,0.92711,0.97365,0.86807,0.50032,0.32566,0.82982,0.00703,0.00703,0.00703
5,971.247,0.50499,0.30894,0.82734,0.98012,0.95006,0.98319,0.89249,0.47253,0.28554,0.82414,0.00604,0.00604,0.00604
6,1158.83,0.48189,0.29231,0.82181,0.98073,0.95269,0.98673,0.91025,0.42337,0.25933,0.81285,0.00505,0.00505,0.00505
7,1343.95,0.46567,0.28033,0.81758,0.98264,0.95267,0.98572,0.90981,0.40989,0.25008,0.80903,0.00406,0.00406,0.00406
8,1529.92,0.44977,0.26878,0.81474,0.98044,0.95828,0.98752,0.91806,0.39757,0.23898,0.80658,0.00307,0.00307,0.00307
9,1715.88,0.43532,0.25725,0.81124,0.98191,0.95745,0.98848,0.92424,0.38264,0.22807,0.80345,0.00208,0.00208,0.00208
10,1901.34,0.41794,0.24289,0.80838,0.98263,0.95929,0.98927,0.92745,0.37306,0.2183,0.8012,0.00109,0.00109,0.00109
