epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,226.468,0.68157,0.49263,0.86374,0.89203,0.85629,0.9303,0.69876,0.86586,0.74141,0.95158,0.0700461,0.00332821,0.00332821
2,417.04,0.61015,0.38667,0.84987,0.97759,0.94725,0.98126,0.86348,0.50794,0.32865,0.82975,0.0393867,0.00600212,0.00600212
3,602.708,0.56449,0.35187,0.83872,0.98204,0.91989,0.97217,0.84564,0.55942,0.3369,0.83833,0.0080673,0.00801609,0.00801609
4,788.47,0.54285,0.33469,0.83395,0.97435,0.95216,0.98345,0.88678,0.47286,0.29737,0.82228,0.0070303,0.0070303,0.0070303
5,974.198,0.51507,0.31442,0.82813,0.97818,0.95335,0.98412,0.88616,0.46969,0.28766,0.82048,0.0060404,0.0060404,0.0060404
6,1159.42,0.49387,0.30015,0.82342,0.97833,0.94999,0.98479,0.89356,0.47486,0.27844,0.82377,0.0050505,0.0050505,0.0050505
7,1344.61,0.47891,0.28693,0.82011,0.97993,0.95599,0.9874,0.91217,0.41696,0.25267,0.81022,0.0040606,0.0040606,0.0040606
8,1530.25,0.46264,0.27533,0.81683,0.98116,0.9561,0.98708,0.91148,0.41449,0.24711,0.8093,0.0030707,0.0030707,0.0030707
9,1715.73,0.44701,0.26317,0.81333,0.98138,0.95738,0.9889,0.91869,0.39671,0.23552,0.80582,0.0020808,0.0020808,0.0020808
10,1901.04,0.43052,0.24851,0.81051,0.98128,0.96041,0.98957,0.92313,0.38579,0.22285,0.80348,0.0010909,0.0010909,0.0010909
