epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,227.409,0.68351,0.49378,0.86549,0.82373,0.7322,0.85425,0.67428,0.78525,2.32948,0.90445,0.0700461,0.00332821,0.00332821
2,415.104,0.61002,0.38451,0.85078,0.97535,0.94137,0.98048,0.86593,0.51936,0.33707,0.83317,0.0393866,0.00600205,0.00600205
3,597.727,0.57129,0.35285,0.84081,0.98071,0.93671,0.97155,0.86042,0.50968,0.3276,0.83245,0.0080671,0.00801589,0.00801589
4,781.039,0.54332,0.33366,0.83501,0.98196,0.92983,0.96831,0.86924,0.4802,0.37433,0.82559,0.00703,0.00703,0.00703
5,964.56,0.51407,0.31297,0.82912,0.97526,0.9508,0.98241,0.89294,0.45296,0.27861,0.81877,0.00604,0.00604,0.00604
6,1151.43,0.49167,0.29602,0.82337,0.98049,0.9532,0.98594,0.90459,0.43376,0.26424,0.8134,0.00505,0.00505,0.00505
7,1336.85,0.47504,0.28424,0.81974,0.98048,0.95357,0.98675,0.91249,0.418,0.2543,0.81054,0.00406,0.00406,0.00406
8,1525.5,0.45887,0.27238,0.8161,0.98286,0.95,0.98654,0.91455,0.41147,0.2464,0.80935,0.00307,0.00307,0.00307
9,1713.26,0.44398,0.25982,0.81324,0.98177,0.95624,0.98789,0.92145,0.3923,0.23224,0.80602,0.00208,0.00208,0.00208
10,1904.08,0.42644,0.24642,0.80984,0.98429,0.95691,0.98922,0.92571,0.37862,0.22216,0.8022,0.00109,0.00109,0.00109
