epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,226.5,0.68801,0.49984,0.86364,0.95861,0.92212,0.96393,0.79157,0.67432,0.85016,0.87325,0.0700461,0.00332821,0.00332821
2,414.33,0.61995,0.3928,0.85038,0.97839,0.94587,0.98071,0.86582,0.50699,0.33674,0.83014,0.0393866,0.00600205,0.00600205
3,596.873,0.57378,0.35792,0.83919,0.97434,0.94808,0.98091,0.86584,0.51184,0.3251,0.83033,0.0080671,0.00801589,0.00801589
4,779.3,0.54908,0.33695,0.83415,0.97875,0.9486,0.98305,0.88403,0.47413,0.29761,0.82296,0.00703,0.00703,0.00703
5,962.511,0.52093,0.31711,0.82918,0.98016,0.94269,0.97706,0.8752,0.47945,0.30121,0.82124,0.00604,0.00604,0.00604
6,1146.47,0.50037,0.30296,0.82409,0.98008,0.95314,0.98623,0.90395,0.44028,0.27281,0.81415,0.00505,0.00505,0.00505
7,1329.97,0.48414,0.28866,0.82039,0.98135,0.95523,0.98676,0.91386,0.41869,0.25334,0.80907,0.00406,0.00406,0.00406
8,1513.86,0.46759,0.27797,0.81677,0.98245,0.95034,0.98531,0.91427,0.41174,0.24993,0.8086,0.00307,0.00307,0.00307
9,1698.27,0.45428,0.26615,0.81385,0.9823,0.95518,0.98803,0.92114,0.39448,0.23647,0.80499,0.00208,0.00208,0.00208
10,1883.06,0.43646,0.25224,0.81107,0.98434,0.95578,0.98798,0.92431,0.38202,0.22635,0.80219,0.00109,0.00109,0.00109
