epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,223.576,0.66647,0.48291,0.86453,0.97208,0.92501,0.96233,0.77383,0.74388,0.52232,0.88627,0.0700461,0.00332821,0.00332821
2,413.298,0.59583,0.37305,0.84999,0.97357,0.92348,0.95959,0.83308,0.55343,0.41853,0.83991,0.0393866,0.00600205,0.00600205
3,597.696,0.55861,0.34233,0.8397,0.97636,0.93949,0.97089,0.83548,0.57792,0.36027,0.84866,0.0080671,0.00801589,0.00801589
4,782.616,0.53171,0.32384,0.83475,0.98025,0.94603,0.98257,0.87853,0.4866,0.29907,0.82712,0.00703,0.00703,0.00703
5,967.508,0.50382,0.3037,0.829,0.97648,0.94924,0.98208,0.88172,0.46754,0.28784,0.82296,0.00604,0.00604,0.00604
6,1151.7,0.48286,0.28795,0.82401,0.98042,0.95265,0.98532,0.90168,0.44515,0.26077,0.81798,0.00505,0.00505,0.00505
7,1335.57,0.46411,0.27605,0.81917,0.98217,0.95294,0.98506,0.90632,0.4159,0.24967,0.81184,0.00406,0.00406,0.00406
8,1519.3,0.44906,0.26376,0.81672,0.98122,0.9555,0.98785,0.916,0.4012,0.23747,0.80799,0.00307,0.00307,0.00307
9,1703.62,0.43364,0.25203,0.81289,0.98225,0.95656,0.98847,0.91843,0.3967,0.23233,0.80673,0.00208,0.00208,0.00208
10,1887.37,0.41835,0.23978,0.81032,0.98251,0.95766,0.98897,0.92544,0.38074,0.21816,0.80337,0.00109,0.00109,0.00109
